date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:43:41	95/95	---M-Z	200	added ('OK')	text/plain	etag:%225cb8f82dc024e84462407cfb829a79ad%22	https://3d-otomotive.framer.ai/robots.txt		(from )
12:43:42	181129/181129	---M-Z	200	added ('OK')	text/html	etag:%229ab8897dc320d36db053f54429dcb81f%22	https://3d-otomotive.framer.ai/	D:/Graphic%20Design/Web%20Template/3D%20Otomotif%20Validate/3d-otomotive.framer.ai/index.html	(from )
12:43:43	91/91	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2013%20Aug%202023%2005:43:44%20GMT	https://framerusercontent.com/modules/7bTS7HykBiXJYclg5AlT/gubqlKBZsS6n8Zxr5NgP/assets/T26kxcGg7wxhC627DjGq25XdNnM.png	D:/Graphic%20Design/Web%20Template/3D%20Otomotif%20Validate/framerusercontent.com/modules/7bTS7HykBiXJYclg5AlT/gubqlKBZsS6n8Zxr5NgP/assets/T26kxcGg7wxhC627DjGq25XdNnM.0.delayed	(from https://3d-otomotive.framer.ai/)
12:43:43	2180/2180	---MC-	200	added ('OK')	image/png	date:Sun,%2013%20Aug%202023%2005:43:44%20GMT	https://framerusercontent.com/images/T26kxcGg7wxhC627DjGq25XdNnM.png	D:/Graphic%20Design/Web%20Template/3D%20Otomotif%20Validate/framerusercontent.com/images/T26kxcGg7wxhC627DjGq25XdNnM.png	(from https://3d-otomotive.framer.ai/)
12:43:46	285854/285854	---MC-	200	added ('OK')	image/png	date:Sun,%2013%20Aug%202023%2005:43:46%20GMT	https://framerusercontent.com/images/D6wf8JaU4OuFCRTfq3B8Dak6No.png	D:/Graphic%20Design/Web%20Template/3D%20Otomotif%20Validate/framerusercontent.com/images/D6wf8JaU4OuFCRTfq3B8Dak6No.png	(from https://3d-otomotive.framer.ai/)
12:43:47	188165/188165	---M-Z	200	added ('OK')	text/html	etag:%22aec6c647b63cbeeda8ae397ad1b74f21%22	https://3d-otomotive.framer.ai/menu	D:/Graphic%20Design/Web%20Template/3D%20Otomotif%20Validate/3d-otomotive.framer.ai/menu.html	(from https://3d-otomotive.framer.ai/)
12:43:48	38828/38828	---MC-	200	added ('OK')	image/png	date:Sun,%2013%20Aug%202023%2005:43:49%20GMT	https://framerusercontent.com/images/4mPRED8SG6kYrIHbXslYeVvTGDw.png	D:/Graphic%20Design/Web%20Template/3D%20Otomotif%20Validate/framerusercontent.com/images/4mPRED8SG6kYrIHbXslYeVvTGDw.png	(from https://3d-otomotive.framer.ai/)
12:43:49	375909/375909	---MC-	200	added ('OK')	image/gif	date:Sun,%2013%20Aug%202023%2005:43:50%20GMT	https://framerusercontent.com/images/EEasxLbwl5LzroLU28D7iXFDhpU.gif	D:/Graphic%20Design/Web%20Template/3D%20Otomotif%20Validate/framerusercontent.com/images/EEasxLbwl5LzroLU28D7iXFDhpU.gif	(from https://3d-otomotive.framer.ai/)
12:43:51	1358142/1358142	---MC-	200	added ('OK')	image/jpeg	date:Sun,%2013%20Aug%202023%2005:43:51%20GMT	https://framerusercontent.com/images/1IpXmlAkbcGb3jBBaG9Nw0F0SpU.jpg	D:/Graphic%20Design/Web%20Template/3D%20Otomotif%20Validate/framerusercontent.com/images/1IpXmlAkbcGb3jBBaG9Nw0F0SpU.jpg	(from https://3d-otomotive.framer.ai/)
12:43:52	228424/228424	---MC-	200	added ('OK')	image/png	date:Sun,%2013%20Aug%202023%2005:43:53%20GMT	https://framerusercontent.com/images/2deEP3ANfeVjtdO2iHcXnIyTiQ.png	D:/Graphic%20Design/Web%20Template/3D%20Otomotif%20Validate/framerusercontent.com/images/2deEP3ANfeVjtdO2iHcXnIyTiQ.png	(from https://3d-otomotive.framer.ai/)
